F1 Score,Precision,Recall,Best Threshold,lookback_seconds,predict_seconds
0.3333333333333333,0.2037037037037037,0.9166666666666666,0.16608807,3,1
0.325,0.203125,0.8125,0.45507377,3,3
0.2641509433962264,0.2058823529411764,0.3684210526315789,0.4482452,3,5
0.2597402597402597,0.2040816326530612,0.3571428571428571,0.52977955,3,10
0.3333333333333333,0.2037037037037037,0.9166666666666666,0.21501781,5,1
0.3142857142857143,0.2037037037037037,0.6875,0.42604452,5,3
0.2758620689655172,0.2051282051282051,0.4210526315789473,0.68890494,5,5
0.25,0.2045454545454545,0.3214285714285714,0.7637255,5,10
0.3278688524590163,0.2040816326530612,0.8333333333333334,0.13810535,10,1
0.3076923076923077,0.2040816326530612,0.625,0.53196764,10,3
0.2941176470588235,0.2040816326530612,0.5263157894736842,0.5909462,10,5
0.2424242424242424,0.2051282051282051,0.2962962962962963,0.5330292,10,10
0.3111111111111111,0.2058823529411764,0.6363636363636364,0.20075303,15,1
0.2727272727272727,0.2068965517241379,0.4,0.5667061,15,3
0.3055555555555556,0.2037037037037037,0.6111111111111112,0.55027926,15,5
0.2181818181818181,0.2068965517241379,0.2307692307692307,0.66622484,15,10
0.3265306122448979,0.2051282051282051,0.8,0.17105639,20,1
0.2916666666666667,0.2058823529411764,0.5,0.6922354,20,3
0.303030303030303,0.2040816326530612,0.5882352941176471,0.5468224,20,5
0.25,0.2051282051282051,0.32,0.59563607,20,10
