f1_score,precision,recall,Best Threshold,lookback_seconds,predict_seconds
0.324455205811138,0.2005988023952095,0.8481012658227848,0.90110695,3,1
0.3172413793103448,0.2004357298474945,0.7603305785123967,0.8517578,3,3
0.3096960926193922,0.2003745318352059,0.6815286624203821,0.77089036,3,5
0.301255230125523,0.2002781641168289,0.6075949367088608,0.75204575,3,10
0.3235294117647059,0.2006079027355623,0.8354430379746836,0.848407,5,1
0.3193277310924369,0.20042194092827,0.7851239669421488,0.7578354,5,3
0.310984308131241,0.2003676470588235,0.6942675159235668,0.72677684,5,5
0.305050505050505,0.2002652519893899,0.6398305084745762,0.74594116,5,10
0.3253588516746411,0.2005899705014749,0.8607594936708861,0.7894093,10,1
0.3150442477876106,0.2004504504504504,0.7355371900826446,0.79319084,10,3
0.3167785234899329,0.200339558573854,0.7564102564102564,0.5934024,10,5
0.3023983315954119,0.2002762430939226,0.6170212765957447,0.69019985,10,10
0.3195876288659793,0.2006472491909385,0.7848101265822784,0.88966066,15,1
0.3148479427549195,0.2004555808656036,0.7333333333333333,0.7219355,15,3
0.3183023872679045,0.2003338898163606,0.7741935483870968,0.7360065,15,5
0.3016877637130801,0.2002801120448179,0.6111111111111112,0.6815604,15,10
0.3252427184466019,0.2005988023952095,0.8589743589743589,0.8412322,20,1
0.3106060606060606,0.2004889975550122,0.6890756302521008,0.8755435,20,3
0.3170731707317073,0.2003424657534246,0.7597402597402597,0.622915,20,5
0.3020063357972545,0.2002801120448179,0.6137339055793991,0.7087171,20,10
